NAME,pop,state,county
"Monterey County, California",433410,06,053
"San Francisco County, California",874961,06,075
"San Diego County, California",3316073,06,073
"Tulare County, California",461898,06,107
"Humboldt County, California",135940,06,023
"Alpine County, California",1039,06,003
"Madera County, California",155433,06,039
"Santa Cruz County, California",273962,06,087
"Trinity County, California",12700,06,105
"Riverside County, California",2411439,06,065
"San Bernardino County, California",2149031,06,071
"Marin County, California",259943,06,041
"Placer County, California",385512,06,061
"Shasta County, California",179212,06,089
"Solano County, California",441829,06,095
"Colusa County, California",21454,06,011
"Copiah County, Mississippi",28501,28,029
"Hinds County, Mississippi",238797,28,049
"Union County, Mississippi",28507,28,145
"Tippah County, Mississippi",22018,28,139
"Forrest County, Mississippi",75224,28,035
"Lafayette County, Mississippi",53590,28,071
"Lowndes County, Mississippi",59150,28,087
"Wilkinson County, Mississippi",8875,28,157
"Jefferson Davis County, Mississippi",11339,28,065
"Scott County, Mississippi",28332,28,123
"Yazoo County, Mississippi",28565,28,163
"Bolivar County, Mississippi",31848,28,011
"Pike County, Mississippi",39532,28,113
"Stone County, Mississippi",18276,28,131
"Kemper County, Mississippi",9943,28,069
"Sunflower County, Mississippi",26168,28,133
"Adams County, Mississippi",31266,28,001
"DeSoto County, Mississippi",178975,28,033
"Delaware County, Pennsylvania",564554,42,045
"Somerset County, Pennsylvania",74361,42,111
"Madison County, Missouri",12179,29,123
"Vernon County, Missouri",20595,29,217
"Nodaway County, Missouri",22359,29,147
"Chariton County, Missouri",7483,29,041
"Wayne County, Missouri",13195,29,223
"Scott County, Missouri",38633,29,201
"Barton County, Missouri",11797,29,011
"Cedar County, Missouri",14043,29,039
"Gasconade County, Missouri",14711,29,073
"Macon County, Missouri",15199,29,121
"Oregon County, Missouri",10647,29,149
"Ste. Genevieve County, Missouri",17848,29,186
"Douglas County, Missouri",13306,29,067
"Henry County, Missouri",21735,29,083
"Lawrence County, Missouri",38204,29,109
"Pulaski County, Missouri",52425,29,169
"Texas County, Missouri",25604,29,215
"Callaway County, Missouri",44889,29,027
"Cooper County, Missouri",17660,29,053
"Gentry County, Missouri",6616,29,075
"Washington County, Virginia",54071,51,191
"Page County, Virginia",23788,51,139
"Alexandria city, Virginia",157613,51,510
"Hampton city, Virginia",135041,51,650
"Arlington County, Virginia",233464,51,013
"Buchanan County, Virginia",21788,51,027
"Stafford County, Virginia",146773,51,179
"Richmond city, Virginia",226622,51,760
"Essex County, Virginia",10998,51,057
"Tazewell County, Virginia",41603,51,185
"Manassas Park city, Virginia",16986,51,685
"Sussex County, Virginia",11377,51,183
"Manassas city, Virginia",41174,51,683
"Salem city, Virginia",25317,51,775
"Charlotte County, Virginia",12040,51,037
"Greensville County, Virginia",11525,51,081
"Thurston County, Washington",279711,53,067
"Columbia County, Washington",3992,53,013
"Guayanilla Municipio, Puerto Rico",18514,72,059
"Sabana Grande Municipio, Puerto Rico",22560,72,121
"Hormigueros Municipio, Puerto Rico",15943,72,067
"Utuado Municipio, Puerto Rico",28676,72,141
"Florida Municipio, Puerto Rico",11697,72,054
"Moca Municipio, Puerto Rico",36161,72,099
"Salinas Municipio, Puerto Rico",28109,72,123
"Mississippi County, Missouri",13574,29,133
"Ozark County, Missouri",9207,29,153
"Bollinger County, Missouri",12225,29,017
"Sumner County, Tennessee",183437,47,165
"Trousdale County, Tennessee",10231,47,169
"Clay County, Tennessee",7654,47,027
"Moultrie County, Illinois",14641,17,139
"Pike County, Illinois",15672,17,149
"Pope County, Illinois",4203,17,151
"St. Clair County, Illinois",262338,17,163
"Shelby County, Illinois",21737,17,173
"Champaign County, Illinois",209922,17,019
"Calhoun County, Illinois",4830,17,013
"Ford County, Illinois",13270,17,053
"Kane County, Illinois",531376,17,089
"Kendall County, Illinois",126054,17,093
"Brown County, Illinois",6628,17,009
"Marion County, Illinois",37743,17,121
"Mason County, Illinois",13621,17,125
"Iroquois County, Illinois",27812,17,075
"Clay County, Illinois",13287,17,025
"Gallatin County, Illinois",5064,17,059
"Monroe County, Illinois",34168,17,133
"Union County, Illinois",16968,17,181
"Winnebago County, Illinois",284819,17,201
"Pulaski County, Illinois",5510,17,153
"Schuyler County, Illinois",6953,17,169
"Edgar County, Illinois",17407,17,045
"Boone County, Illinois",53537,17,007
"Bureau County, Illinois",33122,17,011
"Coles County, Illinois",51353,17,029
"Crawford County, Illinois",18972,17,033
"Putnam County, Illinois",5721,17,155
"De Witt County, Illinois",15932,17,039
"Lee County, Illinois",34389,17,103
"Macoupin County, Illinois",45463,17,117
"Richland County, Illinois",15766,17,159
"Washington County, Illinois",14058,17,189
"Washington County, Oregon",589481,41,067
"Clatsop County, Oregon",39102,41,007
"Cameron County, Pennsylvania",4611,42,023
"Bucks County, Pennsylvania",626806,42,017
"Lehigh County, Pennsylvania",365052,42,077
"Clarion County, Pennsylvania",38715,42,031
"Greene County, Pennsylvania",36870,42,059
"Luzerne County, Pennsylvania",317663,42,079
"Columbia County, Pennsylvania",65715,42,037
"Jefferson County, Pennsylvania",43846,42,065
"Perry County, Pennsylvania",46053,42,099
"Sullivan County, Pennsylvania",6135,42,113
"Kent County, Rhode Island",163869,44,003
"Washington County, Rhode Island",126060,44,009
"Newberry County, South Carolina",38194,45,071
"Clarendon County, South Carolina",33957,45,027
"Sumter County, South Carolina",106757,45,085
"Barnwell County, South Carolina",21346,45,011
"Darlington County, South Carolina",67027,45,031
"York County, South Carolina",265872,45,091
"Cherokee County, South Carolina",56895,45,021
"Jasper County, South Carolina",28657,45,053
"Lee County, South Carolina",17365,45,061
"Abbeville County, South Carolina",24627,45,001
"Lyman County, South Dakota",3848,46,085
"Deuel County, South Dakota",4318,46,039
"Glenn County, California",27976,06,021
"Butte County, California",225817,06,007
"Kings County, California",150691,06,031
"Plumas County, California",18660,06,063
"San Luis Obispo County, California",282165,06,079
"Fresno County, California",984521,06,019
"Kern County, California",887641,06,029
"Orange County, California",3168044,06,059
"Ventura County, California",847263,06,111
"Calaveras County, California",45514,06,009
"Sutter County, California",96109,06,101
"San Mateo County, California",767423,06,081
"Tuolumne County, California",54045,06,109
"San Joaquin County, California",742603,06,077
"Amador County, California",38429,06,005
"Phillips County, Colorado",4290,08,095
"Archuleta County, Colorado",13253,08,007
"Denver County, Colorado",705576,08,031
"Kiowa County, Colorado",1489,08,061
"Huerfano County, Colorado",6679,08,055
"Baca County, Colorado",3561,08,009
"Gilpin County, Colorado",6018,08,047
"Kit Carson County, Colorado",7447,08,063
"Gunnison County, Colorado",16802,08,051
"Mineral County, Colorado",824,08,079
"Ouray County, Colorado",4796,08,091
"Sedgwick County, Colorado",2322,08,115
"Weld County, Colorado",305345,08,123
"Custer County, Colorado",4776,08,027
"Costilla County, Colorado",3745,08,023
"Douglas County, Colorado",336041,08,035
"Lake County, Colorado",7751,08,065
"La Plata County, Colorado",55617,08,067
"Pitkin County, Colorado",17926,08,097
"Rio Grande County, Colorado",11305,08,105
"Bent County, Colorado",5787,08,011
"Crowley County, Colorado",5754,08,025
"San Juan County, Colorado",589,08,111
"Larimer County, Colorado",344786,08,069
"Logan County, Colorado",22380,08,075
"San Miguel County, Colorado",8049,08,113
"Teller County, Colorado",24524,08,119
"Elbert County, Colorado",25717,08,039
"Las Animas County, Colorado",14266,08,071
"Lincoln County, Colorado",5585,08,073
"Summit County, Colorado",30649,08,117
"Alamosa County, Colorado",16107,08,003
"Delta County, Colorado",30565,08,029
"Fremont County, Colorado",47321,08,043
"Montrose County, Colorado",41686,08,085
"Morgan County, Colorado",28517,08,087
"Saguache County, Colorado",6592,08,109
"Prowers County, Colorado",12022,08,099
"Washington County, Colorado",4868,08,121
"Grand County, Colorado",15303,08,049
"Otero County, Colorado",18282,08,089
"Broomfield County, Colorado",67886,08,014
"Sussex County, Delaware",224384,10,005
"District of Columbia, District of Columbia",692683,11,001
"New Haven County, Connecticut",857513,09,009
"Hartford County, Connecticut",893561,09,003
"Shelby County, Tennessee",936374,47,157
"Henderson County, Tennessee",27977,47,077
"Jefferson County, Tennessee",53679,47,089
"Sequatchie County, Tennessee",14816,47,153
"Carroll County, Tennessee",27886,47,017
"Davidson County, Tennessee",687488,47,037
"Perry County, Tennessee",7962,47,135
"Meigs County, Tennessee",12104,47,121
"Haywood County, Tennessee",17623,47,075
"Montgomery County, Tennessee",200180,47,125
"Grundy County, Tennessee",13344,47,061
"Cocke County, Tennessee",35552,47,029
"DeKalb County, Tennessee",19847,47,041
"Lewis County, Tennessee",12027,47,101
"Obion County, Tennessee",30365,47,131
"Tipton County, Tennessee",61447,47,167
"Dyer County, Tennessee",37416,47,045
"Hamilton County, Tennessee",360919,47,065
"Polk County, Tennessee",16814,47,139
"White County, Tennessee",26800,47,185
"Sullivan County, Tennessee",157050,47,163
"Schoharie County, New York",31222,36,095
"Fulton County, New York",53646,36,035
"Rensselaer County, New York",159185,36,083
"Franklin County, New York",50477,36,033
"Queens County, New York",2287388,36,081
"Washington County, New York",61616,36,115
"New York County, New York",1631993,36,061
"Cayuga County, New York",77425,36,011
"Rockland County, New York",324422,36,087
"Niagara County, New York",210820,36,063
"Essex County, New York",37459,36,031
"Nassau County, New York",1356509,36,059
"Schuyler County, New York",17920,36,097
"Chenango County, New York",47909,36,017
"Jefferson County, New York",112842,36,045
"Suffolk County, New York",1483832,36,103
"Wyoming County, New York",40305,36,121
"Oswego County, New York",118339,36,075
"Wayne County, New York",90519,36,117
"Broome County, New York",193188,36,007
"Hinsdale County, Colorado",857,08,053
"Erie County, New York",919355,36,029
"Sullivan County, New York",75116,36,105
"Orange County, New York",380085,36,071
"Haywood County, North Carolina",61053,37,087
"Forsyth County, North Carolina",375195,37,067
"Lake County, Indiana",485707,18,089
"Montgomery County, Indiana",38287,18,107
"Adams County, Indiana",35376,18,001
"Fayette County, Indiana",23194,18,041
"Clay County, Indiana",26234,18,021
"Dubois County, Indiana",42543,18,037
"Franklin County, Indiana",22774,18,047
"Hancock County, Indiana",75164,18,059
"Howard County, Indiana",82331,18,067
"Ohio County, Indiana",5874,18,115
"Parke County, Indiana",16946,18,121
"Randolph County, Indiana",24926,18,135
"Benton County, Indiana",8677,18,007
"Brown County, Indiana",15064,18,013
"Putnam County, Indiana",37384,18,133
"Washington County, Indiana",27848,18,175
"Daviess County, Indiana",33120,18,027
"Henry County, Indiana",48255,18,065
"Knox County, Indiana",37065,18,083
"Madison County, Indiana",129455,18,095
"Pike County, Indiana",12378,18,125
"Pulaski County, Indiana",12559,18,131
"Steuben County, Indiana",34453,18,151
"Laramie County, Wyoming",98320,56,021
"Teton County, Wyoming",23280,56,039
"San Jacinto County, Texas",28180,48,407
"Upshur County, Texas",41018,48,459
"Waller County, Texas",51832,48,473
"Wilson County, Texas",49173,48,493
"Hockley County, Texas",23064,48,219
"Midland County, Texas",168167,48,329
"Llano County, Texas",21047,48,299
"Fannin County, Texas",34537,48,147
"Brazos County, Texas",222981,48,041
"Gaines County, Texas",20706,48,165
"Gray County, Texas",22410,48,179
"Jack County, Texas",8852,48,237
"Bosque County, Texas",18296,48,035
"Bexar County, Texas",1952843,48,029
"Baylor County, Texas",3577,48,023
"Denton County, Texas",833822,48,121
"Galveston County, Texas",332885,48,167
"Roberts County, Texas",805,48,393
"Uvalde County, Texas",26920,48,463
"Bowie County, Texas",93373,48,037
"Kent County, Texas",647,48,263
"Somervell County, Texas",8860,48,425
"Hardin County, Texas",56765,48,199
"Leon County, Texas",17225,48,289
"Newton County, Texas",13914,48,351
"Reeves County, Texas",15492,48,389
"Travis County, Texas",1226805,48,453
"Collingsworth County, Texas",2969,48,087
"Erath County, Texas",41841,48,143
"Motley County, Texas",1252,48,345
"Coleman County, Texas",8334,48,083
"Medina County, Texas",50057,48,325
"Henderson County, Texas",81070,48,213
"Lamar County, Texas",49611,48,277
"Kimble County, Texas",4373,48,267
"Washington County, Texas",35163,48,477
"Stephens County, Texas",9364,48,429
"Andrews County, Texas",18036,48,003
"Gonzales County, Texas",20731,48,177
"Lynn County, Texas",5830,48,305
"Zapata County, Texas",14304,48,505
"Hood County, Texas",58318,48,221
"King County, Texas",237,48,269
"Cherokee County, Texas",52118,48,073
"Delta County, Texas",5249,48,119
"Jones County, Texas",19943,48,253
"Windham County, Connecticut",116566,09,015
"New London County, Connecticut",267390,09,011
"Middlesex County, Connecticut",163053,09,007
"Tolland County, Connecticut",151063,09,013
"Fairfield County, Connecticut",943926,09,001
"Washington County, Florida",24764,12,133
"Duval County, Florida",936186,12,031
"Bradford County, Florida",27317,12,007
"Brevard County, Florida",585507,12,009
"Clay County, Florida",211405,12,019
"Lafayette County, Florida",8637,12,067
"Lake County, Florida",345867,12,069
"Nassau County, Florida",83098,12,089
"Pinellas County, Florida",964666,12,103
"Polk County, Florida",686218,12,105
"St. Lucie County, Florida",312947,12,111
"Glades County, Florida",13516,12,043
"Hendry County, Florida",40732,12,051
"Indian River County, Florida",153989,12,061
"Jackson County, Florida",47945,12,063
"St. Johns County, Florida",244674,12,109
"Seminole County, Florida",461402,12,117
"Bay County, Florida",182161,12,005
"Flagler County, Florida",109801,12,035
"Gulf County, Florida",15576,12,045
"Liberty County, Florida",8345,12,077
"Osceola County, Florida",351955,12,097
"Walton County, Florida",68262,12,131
"Gadsden County, Florida",45945,12,039
"Jefferson County, Florida",14161,12,065
"Marion County, Florida",353526,12,083
"Hardee County, Florida",27131,12,049
"Okeechobee County, Florida",41144,12,093
"Orange County, Florida",1349746,12,095
"Gilchrist County, Florida",17953,12,041
"Suwannee County, Florida",44046,12,121
"Alachua County, Florida",265443,12,001
"Calhoun County, Florida",14362,12,013
"Charlotte County, Florida",181067,12,015
"Dixie County, Florida",16589,12,029
"Martin County, Florida",159065,12,085
"Sarasota County, Florida",419496,12,115
"Manatee County, Florida",384213,12,081
"Citrus County, Florida",145169,12,017
"Baker County, Florida",28211,12,003
"Santa Rosa County, Florida",174755,12,113
"Leon County, Florida",289770,12,073
"Broward County, Florida",1926205,12,011
"Monroe County, Florida",75798,12,087
"Hernando County, Florida",186313,12,053
"Hillsborough County, Florida",1422278,12,057
"Taylor County, Florida",21870,12,123
"Wakulla County, Florida",32321,12,129
"McDuffie County, Georgia",21455,13,189
"Morgan County, Georgia",18507,13,211
"Heard County, Georgia",11736,13,149
"Dougherty County, Georgia",89703,13,095
"Fannin County, Georgia",25395,13,111
"Houston County, Georgia",153507,13,153
"Laurens County, Georgia",47405,13,175
"Spalding County, Georgia",65306,13,255
"Telfair County, Georgia",16035,13,271
"Warren County, Indiana",8237,18,171
"Vermillion County, Indiana",15539,18,165
"Wells County, Indiana",28011,18,179
"Allen County, Indiana",372575,18,003
"Decatur County, Indiana",26562,18,031
"Delaware County, Indiana",115020,18,035
"Floyd County, Indiana",77320,18,043
"Jefferson County, Indiana",32201,18,077
"Jennings County, Indiana",27710,18,079
"Johnson County, Indiana",153716,18,081
"Miami County, Indiana",35815,18,103
"Morgan County, Indiana",69922,18,109
"Gibson County, Indiana",33656,18,051
"Newton County, Indiana",13992,18,111
"Orange County, Indiana",19545,18,117
"St. Joseph County, Indiana",270216,18,141
"Kosciusko County, Indiana",79035,18,085
"Marshall County, Indiana",46461,18,099
"Switzerland County, Indiana",10685,18,155
"Vanderburgh County, Indiana",181291,18,163
"Blackford County, Indiana",12013,18,009
"Scott County, Indiana",23759,18,143
"Monroe County, Indiana",146461,18,105
"Elkhart County, Indiana",204558,18,039
"Crawford County, Indiana",10569,18,025
"Cass County, Indiana",37880,18,017
"Marion County, Indiana",951869,18,097
"Wayne County, Indiana",66342,18,177
"Butler County, Iowa",14628,19,023
"Fremont County, Iowa",6946,19,071
"Hamilton County, Iowa",14997,19,079
"Taylor County, Iowa",6167,19,173
"Union County, Iowa",12358,19,175
"Worth County, Iowa",7445,19,195
"Ringgold County, Iowa",4964,19,159
"Adair County, Iowa",7085,19,001
"Chickasaw County, Iowa",12026,19,037
"Clarke County, Iowa",9360,19,039
"Dickinson County, Iowa",17127,19,059
"Johnson County, Iowa",148577,19,103
"Keokuk County, Iowa",10188,19,107
"Tama County, Iowa",17032,19,171
"Wapello County, Iowa",35141,19,179
"Franklin County, Iowa",10162,19,069
"Carroll County, Iowa",20281,19,027
"Cedar County, Iowa",18457,19,031
"Floyd County, Iowa",15786,19,067
"Greene County, Iowa",8950,19,073
"Louisa County, Iowa",11178,19,115
"Lyon County, Iowa",11776,19,119
"Union County, Georgia",23288,13,291
"Bladen County, North Carolina",33407,37,017
"Carteret County, North Carolina",69070,37,031
"Bertie County, North Carolina",19380,37,015
"Martin County, North Carolina",22849,37,117
"Perquimans County, North Carolina",13430,37,143
"Rockingham County, North Carolina",91077,37,157
"Camden County, North Carolina",10551,37,029
"Gaston County, North Carolina",219271,37,071
"Moore County, North Carolina",97294,37,125
"Stanly County, North Carolina",61588,37,167
"Yancey County, North Carolina",17760,37,199
"Chatham County, North Carolina",71338,37,037
"Johnston County, North Carolina",196870,37,101
"Person County, North Carolina",39345,37,145
"Ashe County, North Carolina",26863,37,009
"Lenoir County, North Carolina",56756,37,107
"Onslow County, North Carolina",195069,37,133
"Rutherford County, North Carolina",66599,37,161
"Yadkin County, North Carolina",37602,37,197
"Burke County, North Carolina",89968,37,023
"Traill County, North Dakota",8008,38,097
"Dickey County, North Dakota",4938,38,021
"Ward County, North Dakota",68812,38,101
"Pembina County, North Dakota",6947,38,067
"Hettinger County, North Dakota",2547,38,041
"Cass County, North Dakota",176975,38,017
"Emmons County, North Dakota",3310,38,029
"Richland County, North Dakota",16254,38,077
"Adams County, North Dakota",2311,38,001
"Eddy County, North Dakota",2301,38,027
"Mercer County, North Dakota",8462,38,057
"Ransom County, North Dakota",5314,38,073
"Sioux County, North Dakota",4373,38,085
"Golden Valley County, North Dakota",1845,38,033
"Towner County, North Dakota",2224,38,095
"Divide County, North Dakota",2335,38,023
"Sargent County, North Dakota",3872,38,081
"Meigs County, Ohio",23078,39,105
"Champaign County, Ohio",38845,39,021
"Greene County, Ohio",166502,39,057
"Lawrence County, Ohio",60184,39,087
"Morgan County, Ohio",14640,39,115
"Wyandot County, Ohio",22000,39,175
"Erie County, Ohio",74780,39,043
"Logan County, Ohio",45316,39,091
"Summit County, Ohio",541334,39,153
"Lemhi County, Idaho",7847,16,059
"Payette County, Idaho",23260,16,075
"Benewah County, Idaho",9138,16,009
"Bonner County, Idaho",43611,16,017
"Clark County, Idaho",913,16,033
"Custer County, Idaho",4169,16,037
"Elmore County, Idaho",26743,16,039
"Fremont County, Idaho",13020,16,043
"Madison County, Idaho",39100,16,065
"Shoshone County, Idaho",12609,16,079
"Idaho County, Idaho",16411,16,049
"Teton County, Idaho",11426,16,081
"Power County, Idaho",7671,16,077
"Washington County, Idaho",10057,16,087
"Hancock County, Illinois",17983,17,067
"Madison County, Illinois",264776,17,119
"Grundy County, Illinois",50666,17,063
"Kankakee County, Illinois",110637,17,091
"Mercer County, Illinois",15589,17,131
"DuPage County, Illinois",929060,17,043
"Alexander County, Illinois",6260,17,003
"Menard County, Illinois",12306,17,129
"LaSalle County, Illinois",109737,17,099
"Cook County, Illinois",5198275,17,031
"Macon County, Illinois",105528,17,115
"Stephenson County, Illinois",45093,17,177
"Wayne County, Illinois",16402,17,191
"Woodford County, Illinois",38700,17,203
"Franklin County, Illinois",38923,17,055
"McDonough County, Illinois",30479,17,109
"McHenry County, Illinois",307714,17,111
"Greeley County, Kansas",1185,20,071
"Ellis County, Kansas",28775,20,051
"Linn County, Kansas",9671,20,107
"Seward County, Kansas",22349,20,175
"Johnson County, Kansas",591506,20,091
"Miami County, Kansas",33417,20,121
"Woodson County, Kansas",3157,20,207
"Ness County, Kansas",2876,20,135
"Bourbon County, Kansas",14608,20,011
"Kiowa County, Kansas",2505,20,097
"Shawnee County, Kansas",177852,20,177
"Chautauqua County, Kansas",3323,20,019
"Reno County, Kansas",62765,20,155
"Doniphan County, Kansas",7684,20,043
"Haskell County, Kansas",4018,20,081
"Scott County, Kansas",4917,20,171
"Brown County, Kansas",9626,20,013
"Phillips County, Kansas",5340,20,147
"Decatur County, Kansas",2860,20,039
"Garrard County, Kentucky",17445,21,079
