NAME,Employee,Direct,Medicare,Medicaid,VA,state,noins
Alabama,267156,250377,765728,110839,83658,1,
Alaska,38754,12525,76526,13150,8940,2,32170.0
Arizona,312191,373857,1151327,144613,92040,4,6203.0
Arkansas,116672,168590,470969,69069,44055,5,48335.0
California,1669911,1243391,5087894,1098429,221883,6,13847.0
Colorado,223254,235250,725327,84124,61892,8,203718.0
Delaware,76436,54612,164966,17703,13227,10,26842.0
District of Columbia,40498,18746,74476,20186,3273,11,3840.0
Connecticut,216605,177639,551939,82083,16023,9,1480.0
Florida,1038872,1162527,3959479,597241,292041,12,13001.0
Georgia,451245,384997,1322465,206445,112298,13,226633.0
Idaho,63542,108095,254174,28584,22173,16,87222.0
Hawaii,128261,61976,235829,28883,22312,15,13038.0
Illinois,620823,649757,1790130,205434,49177,17,4364.0
Indiana,300466,376640,958709,94953,37170,18,64250.0
Iowa,123660,243683,490014,51648,19404,19,34852.0
Kansas,107204,196680,417148,40534,29420,20,9087.0
Kentucky,231963,231817,670554,95059,40817,21,16482.0
Louisiana,212341,184861,649788,109129,39914,22,14512.0
Maine,76541,87605,251598,43789,20665,23,29023.0
Maryland,438586,252594,824841,104808,59406,24,8872.0
Massachusetts,433295,353909,1012965,179317,33123,25,25158.0
Michigan,765561,552349,1587190,197443,49530,26,14220.0
Minnesota,215033,425020,804261,74248,31637,27,37710.0
Mississippi,99913,142575,437409,84420,41923,28,14938.0
Missouri,270655,335186,941367,89439,56310,29,23603.0
Montana,43601,75165,181723,18338,12730,30,40453.0
Nebraska,65367,122008,272943,28731,18716,31,8074.0
Nevada,124587,110241,429665,51542,39370,32,9358.0
New Hampshire,82993,83092,219546,15989,15201,33,22464.0
New Jersey,544068,394833,1299267,170715,33374,34,6122.0
New Mexico,110000,83246,334170,56271,31070,35,51793.0
New York,1212628,754239,2907396,593673,60862,36,14786.0
North Carolina,488377,558131,1543764,193212,123954,37,76140.0
North Dakota,28024,54113,103557,9859,6659,38,71811.0
Ohio,673536,611563,1808291,181388,67650,39,2540.0
Oklahoma,179653,200830,566036,62599,50947,40,53289.0
Oregon,190368,268896,675844,82934,38828,41,36258.0
Pennsylvania,724256,896042,2132094,264147,77381,42,19604.0
Rhode Island,50639,59770,164367,26072,9315,44,49398.0
South Carolina,268220,274184,825290,104679,90990,45,2730.0
South Dakota,25955,59011,131360,12639,9702,46,37868.0
Tennessee,288543,356509,1016829,137805,80250,47,4670.0
Texas,1006362,871379,3188076,479928,257349,48,46784.0
Vermont,36236,41731,110654,15431,5827,50,290169.0
Utah,112502,106258,313871,31421,24294,49,1911.0
Virginia,470169,422683,1187927,109928,158620,51,15037.0
Washington,354034,388902,1053118,130367,93254,53,53705.0
West Virginia,137512,96037,336593,42800,18450,54,31888.0
Wisconsin,246646,389948,904068,108994,32816,55,8020.0
Wyoming,23184,36861,86596,8528,6485,56,19912.0
Puerto Rico,81281,89238,621555,264305,14182,72,4071.0
